observation_date,lfp_rate
2000/2/1,73.1
2000/3/1,73.1
2000/4/1,73.1
2000/5/1,73.1
2000/6/1,73
2000/7/1,72.9
2000/8/1,72.9
2000/9/1,72.8
2000/10/1,72.9
2000/11/1,73
2000/12/1,73.1
2001/1/1,73.2
2001/2/1,73.3
2001/3/1,73.4
2001/4/1,73.3
2001/5/1,73.2
2001/6/1,73.1
2001/7/1,73.1
2001/8/1,73
2001/9/1,72.9
2001/10/1,72.8
2001/11/1,72.8
2001/12/1,72.7
2002/1/1,72.6
2002/2/1,72.5
2002/3/1,72.4
2002/4/1,72.4
2002/5/1,72.3
2002/6/1,72.3
2002/7/1,72.2
2002/8/1,72.3
2002/9/1,72.3
2002/10/1,72.3
2002/11/1,72.4
2002/12/1,72.4
2003/1/1,72.5
2003/2/1,72.6
2003/3/1,72.7
2003/4/1,72.7
2003/5/1,72.6
2003/6/1,72.5
2003/7/1,72.3
2003/8/1,72.2
2003/9/1,72.1
2003/10/1,72
2003/11/1,72
2003/12/1,72
2004/1/1,71.9
2004/2/1,71.9
2004/3/1,71.8
2004/4/1,71.7
2004/5/1,71.6
2004/6/1,71.6
2004/7/1,71.5
2004/8/1,71.3
2004/9/1,71.2
2004/10/1,71
2004/11/1,70.9
2004/12/1,70.7
2005/1/1,70.7
2005/2/1,70.6
2005/3/1,70.6
2005/4/1,70.6
2005/5/1,70.6
2005/6/1,70.6
2005/7/1,70.7
2005/8/1,70.7
2005/9/1,70.7
2005/10/1,70.7
2005/11/1,70.7
2005/12/1,70.6
2006/1/1,70.6
2006/2/1,70.7
2006/3/1,70.7
2006/4/1,70.8
2006/5/1,70.9
2006/6/1,70.9
2006/7/1,71
2006/8/1,71
2006/9/1,71
2006/10/1,71.1
2006/11/1,71.1
2006/12/1,71.1
2007/1/1,71
2007/2/1,71
2007/3/1,70.9
2007/4/1,70.9
2007/5/1,70.8
2007/6/1,70.8
2007/7/1,70.8
2007/8/1,70.8
2007/9/1,70.8
2007/10/1,70.7
2007/11/1,70.7
2007/12/1,70.6
2008/1/1,70.5
2008/2/1,70.5
2008/3/1,70.4
2008/4/1,70.4
2008/5/1,70.4
2008/6/1,70.4
2008/7/1,70.5
2008/8/1,70.6
2008/9/1,70.7
2008/10/1,70.7
2008/11/1,70.8
2008/12/1,70.8
2009/1/1,70.8
2009/2/1,70.8
2009/3/1,70.8
2009/4/1,70.9
2009/5/1,70.8
2009/6/1,70.8
2009/7/1,70.6
2009/8/1,70.4
2009/9/1,70.2
2009/10/1,70
2009/11/1,69.8
2009/12/1,69.8
2010/1/1,69.8
2010/2/1,69.8
2010/3/1,69.7
2010/4/1,69.7
2010/5/1,69.5
2010/6/1,69.4
2010/7/1,69.3
2010/8/1,69.3
2010/9/1,69.2
2010/10/1,69.2
2010/11/1,69.2
2010/12/1,69.1
2011/1/1,69.1
2011/2/1,69.1
2011/3/1,69
2011/4/1,69
2011/5/1,68.9
2011/6/1,68.9
2011/7/1,68.9
2011/8/1,68.9
2011/9/1,68.9
2011/10/1,68.9
2011/11/1,68.8
2011/12/1,68.8
2012/1/1,68.7
2012/2/1,68.6
2012/3/1,68.6
2012/4/1,68.6
2012/5/1,68.6
2012/6/1,68.5
2012/7/1,68.5
2012/8/1,68.5
2012/9/1,68.4
2012/10/1,68.4
2012/11/1,68.5
2012/12/1,68.5
2013/1/1,68.5
2013/2/1,68.5
2013/3/1,68.5
2013/4/1,68.5
2013/5/1,68.5
2013/6/1,68.5
2013/7/1,68.5
2013/8/1,68.4
2013/9/1,68.3
2013/10/1,68.1
2013/11/1,68.1
2013/12/1,68
2014/1/1,68
2014/2/1,68
2014/3/1,68
2014/4/1,68
2014/5/1,67.9
2014/6/1,67.9
2014/7/1,68
2014/8/1,68
2014/9/1,68.1
2014/10/1,68.1
2014/11/1,68
2014/12/1,68
2015/1/1,67.9
2015/2/1,67.9
2015/3/1,67.9
2015/4/1,67.8
2015/5/1,67.8
2015/6/1,67.7
2015/7/1,67.7
2015/8/1,67.7
2015/9/1,67.7
2015/10/1,67.8
2015/11/1,67.9
2015/12/1,68.1
2016/1/1,68.2
2016/2/1,68.2
2016/3/1,68.2
2016/4/1,68.2
2016/5/1,68.2
2016/6/1,68.1
2016/7/1,68.1
2016/8/1,68.1
2016/9/1,68.1
2016/10/1,68
2016/11/1,68
2016/12/1,67.9
2017/1/1,67.9
2017/2/1,68
2017/3/1,68.1
2017/4/1,68.1
2017/5/1,68.2
2017/6/1,68.2
2017/7/1,68.2
2017/8/1,68.2
2017/9/1,68.1
2017/10/1,68
2017/11/1,67.9
2017/12/1,67.8
2018/1/1,67.8
2018/2/1,67.8
2018/3/1,67.8
2018/4/1,67.7
2018/5/1,67.7
2018/6/1,67.5
2018/7/1,67.3
2018/8/1,67.2
2018/9/1,67.1
2018/10/1,67
2018/11/1,66.9
2018/12/1,66.9
2019/1/1,66.9
2019/2/1,66.9
2019/3/1,66.9
2019/4/1,66.9
2019/5/1,66.8
2019/6/1,66.8
2019/7/1,66.8
2019/8/1,66.8
2019/9/1,66.7
2019/10/1,66.7
2019/11/1,66.6
2019/12/1,66.5
2020/1/1,66.3
2020/2/1,66.1
2020/3/1,65.9
2020/4/1,65.7
2020/5/1,66.1
2020/6/1,65.9
2020/7/1,66.1
2020/8/1,66
2020/9/1,66.3
2020/10/1,66.2
2020/11/1,66.3
2020/12/1,66.3
2021/1/1,66.2
2021/2/1,66.2
2021/3/1,66.3
2021/4/1,66.3
2021/5/1,66.3
2021/6/1,66.3
2021/7/1,66.2
2021/8/1,66.1
2021/9/1,65.9
2021/10/1,65.9
2021/11/1,65.8
2021/12/1,65.8
2022/1/1,65.9
2022/2/1,65.9
2022/3/1,65.8
2022/4/1,65.7
2022/5/1,65.6
2022/6/1,65.5
2022/7/1,65.4
2022/8/1,65.3
2022/9/1,65.3
2022/10/1,65.3
2022/11/1,65.3
2022/12/1,65.4
2023/1/1,65.5
2023/2/1,65.6
2023/3/1,65.7
2023/4/1,65.8
2023/5/1,65.9
2023/6/1,66
2023/7/1,66
2023/8/1,66
2023/9/1,66
2023/10/1,66
2023/11/1,66
2023/12/1,66
2024/1/1,65.9
2024/2/1,65.9
2024/3/1,65.9
2024/4/1,65.9
2024/5/1,65.9
2024/6/1,65.9
2024/7/1,65.9
2024/8/1,66
2024/9/1,66
2024/10/1,66
2024/11/1,66
2024/12/1,65.9
